id,object_id,title_zh,title_en,time_period,dynasty_id,type,material,description,dimensions,museum_id,location_id,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,image_validated,last_updated,created_at,material_zh,type_zh,description_zh
711,1,罐子,Jar,14th - 16th century,26.0,Containers,Porcelaneous stoneware with underglaze brown painted decoration on cream slip under a clear glaze (Cizhou type ware),Porcelaneous stoneware with underglaze brown painted decoration on cream slip under a clear glaze (Cizhou type ware),10 x 6 1/4 inches (25.4 x 15.9 cm),3,,https://www.philamuseum.org/collection/object/33119,"https://iiif.micr.io/jqFiu/full/^300,/0/default.jpg",,"Bequest of Elizabeth Donner Norment in honor of her father, William H. Donner, 1980",33119,2026-06-01,,2026-06-01,2026-06-01,瓷质瓷器，釉下涂棕色装饰，奶油色，透明釉下（磁州型瓷器）,容器,瓷质瓷器，釉下涂棕色装饰，奶油色，透明釉下（磁州型瓷器）
5131,2,盖杯,Covered Cup,1821-1850,27.0,Containers,Glazed porcelain with overglaze enamel and gilt decoration,Glazed porcelain with overglaze enamel and gilt decoration,"2 9/16 x 4 1/8 inches (6.5 x 10.5 cm)
Cover: 1 3/16 x 3 7/8 inches (3 x 9.8 cm)",3,,https://www.philamuseum.org/collection/object/37447,"https://iiif.micr.io/AZvCd/full/^300,/0/default.jpg",,"Purchased with Museum funds, 1876",37447,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉和镀金装饰的釉面瓷器,容器,釉上瓷釉和镀金装饰的釉面瓷器
3367,3,盖杯,Covered Cup,Late 19th century,27.0,Containers,Glazed porcelain with overglaze enamel and gilt decoration,Glazed porcelain with overglaze enamel and gilt decoration,"2 9/16 x 4 inches (6.5 x 10.2 cm)
Cover: 3 11/16 inches (9.3 cm)",3,,https://www.philamuseum.org/collection/object/37448,"https://iiif.micr.io/LioTp/full/^300,/0/default.jpg",,"Purchased with Museum funds, 1876",37448,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉和镀金装饰的釉面瓷器,容器,釉上瓷釉和镀金装饰的釉面瓷器
830,4,罐子,Jar,16th - 17th century,26.0,Containers,Glazed porcelain with overglaze enamel decoration of cranes and clouds (wucai),This jar was purchased from Hu Kwang Yung's exhibit at the Centennial Exposition in Philadelphia in 1876.,14 5/16 x 9 1/4 inches (36.4 x 23.5 cm),3,,https://www.philamuseum.org/collection/object/37458,"https://iiif.micr.io/JHTvJ/full/^300,/0/default.jpg",,"Purchased with Museum funds, 1876",37458,2026-06-01,,2026-06-01,2026-06-01,青云釉（五彩）,容器,这个罐子是1876年在费城百年博览会上从胡光勇的展览中购买的。
3826,5,花瓶,Vase,1662-1722,27.0,Containers,Porcelain with overglaze enamel and gilt decoration,"This vase depicts the Sui dynasty emperor Yangdi aboard his dragon boat. Yangdi, who ruled from 604 to around 618, sponsored the building of China’s Grand Canal, which linked the populous north with the fertile south. 


The scene here might be a comment on the excesses of rulership and power: Yangdi’s enormous project entailed the conscription of more than two million people. Not surprisingly, his rule ended with a revolution.",17 7/8 x 7 5/16 inches (45.4 x 18.5 cm),3,,https://www.philamuseum.org/collection/object/37460,"https://iiif.micr.io/pbgSc/full/^300,/0/default.jpg",,"Purchased with Museum funds, 1876",37460,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉和镀金装饰的瓷器,容器,"这个花瓶描绘了隋朝皇帝杨棣乘坐龙舟的情景。公元604年至618年左右统治中国的杨迪，赞助修建了连接人口稠密的北方和富饶的南方的大运河。
这里的场景可能是对统治和权力过度的评论：杨迪的庞大项目需要征召200多万人。毫不奇怪，他的统治以革命告终。p"
3706,6,菜肴,Dish,1522-1566,26.0,Containers,Porcelain with overglaze enamel decoration (Jingdezhen ware),This dish was purchased from Hu Kwang Yung's exhibit at the Centennial Exposition in Philadelphia in 1876.,2 3/4 x 15 inches (7 x 38.1 cm),3,,https://www.philamuseum.org/collection/object/37461,"https://iiif.micr.io/oEGdf/full/^300,/0/default.jpg",,"Purchased with Museum funds, 1876",37461,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉装饰瓷器（景德镇瓷器）,容器,这道菜是1876年在费城百年博览会上从胡光勇的展览中购买的。
3707,7,盘子,Plate,1862-1874,27.0,Containers,Porcelain with overglaze enamel,Porcelain with overglaze enamel,15/16 × 9 inches (2.4 × 22.9 cm),3,,https://www.philamuseum.org/collection/object/37573,"https://iiif.micr.io/Ooecr/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37573,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉瓷器,容器,釉上瓷釉瓷器
4447,8,罐子和盖子,Jar and Cover,1573-1620,26.0,Containers,"Porcelain, polychrome enamel","Porcelain, polychrome enamel",13 7/8 × 9 5/8 inches (35.2 × 24.4 cm),3,,https://www.philamuseum.org/collection/object/37577,"https://iiif.micr.io/VKZxz/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37577,2026-06-01,,2026-06-01,2026-06-01,瓷器，多色搪瓷,容器,瓷器，多色搪瓷
3588,9,花瓶,Vase,1796-1820,27.0,Containers,Porcelain with overglaze enamel decoration,Porcelain with overglaze enamel decoration,10 1/2 x 8 3/8 inches (26.7 x 21.3 cm),3,,https://www.philamuseum.org/collection/object/37592,"https://iiif.micr.io/Jjfdv/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37592,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉装饰瓷器,容器,釉上瓷釉装饰瓷器
3827,10,茶壶,Teapot,1796-1820,27.0,Containers,Porcelain with overglaze enamel decoration,Porcelain with overglaze enamel decoration,4 3/16 x 3 3/4 inches (10.6 x 9.5 cm),3,,https://www.philamuseum.org/collection/object/37604,"https://iiif.micr.io/ZdkNl/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37604,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉装饰瓷器,容器,釉上瓷釉装饰瓷器
