object_id,title_zh,title_en,material,type,image_url,museum_id,dynasty_id,dynasty_name
5527,朝廷主席,Chair for the imperial court,木漆,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/73502/preview,2,27,清朝
5528,燕子和杏花盘,Plate with swallows and apricot blossoms,釉上彩瓷,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/17556/preview,2,27,清朝
5529,带有龙、柠檬和石榴图案的盘子,"Plate with design of dragons, citrons, and pomegranates",多色釉下雕刻图案的瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/17827/preview,2,27,清朝
5530,桃子花瓶,Vase with peaches,釉上彩瓷,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/62021/preview,2,27,清朝
5531,带有狮子玩球设计的罐子,Jar with design of lions playing with a ball,釉下蓝和釉上多色装饰瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/16939/preview,2,26,明朝
5532,八宝长寿八角盘,Octagonal plate with the Eight Treasures and a longevity character,剔红,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/75423/preview,2,26,明朝
5533,花瓶悬挂在三条链子上,Vase suspended from three chains,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/20732/preview,2,28,中华民国
5534,有盖的罐子，一对中的一个,"Covered jar, one of a pair",釉上彩瓷,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/16430/preview,2,28,中华民国
5535,有龙图案的盖碗,Covered bowl with design of dragons,釉下蓝釉上彩瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/18716/preview,2,27,清朝
5536,八只鹤在云中飞翔的碗,Bowl with design of eight cranes flying through clouds,釉上彩瓷,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/21284/preview,2,27,清朝
5537,冥想罗汉,Meditating Lohan,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/13502/preview,2,27,清朝
5538,礼船（hu）,Ritual vessel (hu),翡翠,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/13612/preview,2,28,中华民国
5539,Rhyton与龙,Rhyton with dragons,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/13704/preview,2,27,清朝
5540,南海观音,Avalokiteshvara (Guanyin) of the South Sea,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/13801/preview,2,27,清朝
5541,三角支架,Triangular stand,镶嵌珍珠母和金漆的漆器,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/66043/preview,2,25,元朝
5542,痰盂,Spittoon,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14028/preview,2,28,中华民国
5543,瀑布和松之后,After Waterfall and Soughing Pine,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14105/preview,2,27,清朝
5544,五毒老虎,Tiger with five poisons,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14310/preview,2,27,清朝
5545,大流域,Large basin,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14434/preview,2,28,中华民国
5546,猫头鹰,Owl,翡翠,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/15376/preview,2,27,清朝
5547,吉祥的鱼在玩珍珠,Auspicious fish playing with a pearl,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/20600/preview,2,27,清朝
5548,鲶鱼形状的吊坠,Pendant in the shape of catfish,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/29076/preview,2,27,清朝
5549,圆形盒子上装饰着春天的字样和一碗珍宝,Circular box decorated with the character for spring and a bowl of treasures,雕刻红、绿、黄漆,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/56695/preview,2,27,清朝
5550,有盖的盒子，里面有两只狮子玩球的场景,Lidded box with a scene of two lions playing with balls,雕刻多色漆,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/73322/preview,2,26,明朝
5551,茶碗，一对一个,"Tea bowl, one of a pair",雕刻多色漆,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/73333/preview,2,27,清朝
5552,茶碗，一对一个（与B62M82配对）,"Tea bowl, one of a pair (pair with B62M82)",雕刻多色漆,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/73339/preview,2,27,清朝
5553,桌面屏幕和支架,Table screen and stand,雕刻多色漆,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/73182/preview,2,27,清朝
5554,带盖矩形盒子,Rectangular box with cover,黑漆镶嵌漆,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/73606/preview,2,26,明朝
5555,带托盘和盖子的莲花形盒子,Lotus-shaped box with tray and cover,木质漆面，内部为红色,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/65748/preview,2,25,元朝
5556,有盖的圆形盒子，上面装饰着野鸡和鲜花,Covered round box decorated with pheasants and flowers,在漆木上涂藤条边,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/75440/preview,2,27,清朝
